Wavelength	000014.asd
350	 5.66493712936818E-02 
351	 5.62178765829766E-02 
352	 5.76337720192041E-02 
353	 0.059341790116038 
354	 5.94148129548869E-02 
355	 5.94723587717883E-02 
356	 5.95320046927545E-02 
357	 5.80354695193345E-02 
358	 5.73306216289129E-02 
359	 5.72945587850197E-02 
360	 5.77357306068582E-02 
361	 5.90136872745079E-02 
362	 5.91393992654579E-02 
363	 5.87760265775138E-02 
364	 5.89383219750692E-02 
365	 5.99903650223995E-02 
366	 6.01196974173525E-02 
367	 5.89792610404739E-02 
368	 5.74314710978881E-02 
369	 5.88276369252525E-02 
370	 5.96611398849624E-02 
371	 5.93007626568006E-02 
372	 5.93470074915835E-02 
373	 5.95716795623123E-02 
374	 5.95412277214308E-02 
375	 5.94273148216915E-02 
376	 6.01376770549952E-02 
377	 5.94629224490363E-02 
378	 5.90177556877823E-02 
379	 5.99409561049917E-02 
380	 6.01155206060913E-02 
381	 6.02402487160732E-02 
382	 6.06457483691116E-02 
383	 6.12889329299028E-02 
384	 6.08732150047273E-02 
385	 6.12789205783555E-02 
386	 6.18933752973005E-02 
387	 6.07639547050278E-02 
388	 6.00717834570798E-02 
389	 6.02839846602403E-02 
390	 6.10610236035383E-02 
391	 6.13777598521448E-02 
392	 6.13392822341521E-02 
393	 0.061297629207749 
394	 6.14375603933564E-02 
395	 6.14408804639274E-02 
396	 6.12763047674963E-02 
397	 6.08040883564656E-02 
398	 6.02648088556077E-02 
399	 6.14274555760651E-02 
400	 6.24506023810178E-02 
401	 6.25163115416652E-02 
402	 0.061762600954512 
403	 6.19015348918957E-02 
404	 6.20940442320307E-02 
405	 6.18803831713752E-02 
406	 6.16530286395223E-02 
407	 6.20595157316957E-02 
408	 6.27706446947897E-02 
409	 6.32197206390787E-02 
410	 0.062831454423408 
411	 6.28721408909307E-02 
412	 0.062998797037899 
413	 0.062501441531438 
414	 6.26733533365181E-02 
415	 6.27763550001214E-02 
416	 6.27177491735856E-02 
417	 6.30253368167638E-02 
418	 6.30449341670177E-02 
419	 6.30051540471457E-02 
420	 6.30549575024072E-02 
421	 6.28967773583711E-02 
422	 0.063299830618326 
423	 6.34855006254646E-02 
424	 6.27759359065674E-02 
425	 6.27861635502761E-02 
426	 6.29465019765635E-02 
427	 6.31758318702735E-02 
428	 6.36470977110181E-02 
429	 6.34774658735726E-02 
430	 6.32182735182329E-02 
431	 6.32300749534615E-02 
432	 6.33570504720067E-02 
433	 6.35003074923109E-02 
434	 6.35012507608673E-02 
435	 6.33793876467328E-02 
436	 6.36836854747136E-02 
437	 6.37577250630903E-02 
438	 6.35960852122156E-02 
439	 6.35260781578701E-02 
440	 6.38233032594652E-02 
441	 6.38638069547418E-02 
442	 6.36059221123779E-02 
443	 6.37044153573332E-02 
444	 6.38130368962549E-02 
445	 0.063971392388361 
446	 6.41498027406383E-02 
447	 6.39266162922234E-02 
448	 6.39019536292329E-02 
449	 6.38430937603463E-02 
450	 6.33784024335912E-02 
451	 6.35570191911537E-02 
452	 6.38672202641433E-02 
453	 6.39970070500887E-02 
454	 6.39743545188754E-02 
455	 6.39881042216329E-02 
456	 6.40975879951245E-02 
457	 0.064240542204486 
458	 6.41151584544025E-02 
459	 6.41337798562919E-02 
460	 6.42122236393609E-02 
461	 0.064107659623168 
462	 6.39333092368431E-02 
463	 6.41101874163839E-02 
464	 6.44362226259495E-02 
465	 6.40968443825469E-02 
466	 6.40187610449837E-02 
467	 6.41731739127025E-02 
468	 6.43793020257273E-02 
469	 6.46247771071904E-02 
470	 6.45820799182079E-02 
471	 0.064433202611426 
472	 6.44970214618137E-02 
473	 6.44290104099624E-02 
474	 6.43040888409438E-02 
475	 6.42756924103369E-02 
476	 6.45259361977022E-02 
477	 6.46414872757486E-02 
478	 6.45049769741298E-02 
479	 6.42507696145545E-02 
480	 6.45148932623141E-02 
481	 0.064445189623817 
482	 6.43522959605935E-02 
483	 6.48532758509113E-02 
484	 6.47488206399001E-02 
485	 0.064720336440378 
486	 6.49302271174488E-02 
487	 0.064727802828353 
488	 6.47953281732657E-02 
489	 6.48037331834383E-02 
490	 6.45046579908571E-02 
491	 6.44725632012577E-02 
492	 6.46017734280236E-02 
493	 6.47128642670242E-02 
494	 0.064653137634372 
495	 6.48956960204269E-02 
496	 6.49013323767845E-02 
497	 0.0646725959179 
498	 6.50272103938756E-02 
499	 6.49379439490672E-02 
500	 6.48501999854011E-02 
501	 6.51928940579497E-02 
502	 6.49365932471085E-02 
503	 6.49521568096479E-02 
504	 6.52392712297024E-02 
505	 6.52828606054462E-02 
506	 0.065281817700937 
507	 0.065057619939838 
508	 6.47675585048446E-02 
509	 6.51504483375726E-02 
510	 6.52854363509167E-02 
511	 6.51925817433159E-02 
512	 6.51250726960365E-02 
513	 0.065043767035279 
514	 6.52031438371372E-02 
515	 6.55122892216645E-02 
516	 6.55943589996196E-02 
517	 0.065244152346478 
518	 6.51715147060939E-02 
519	 6.55791993422461E-02 
520	 6.53823163001803E-02 
521	 6.53469977667372E-02 
522	 6.53784970768694E-02 
523	 6.52068999216301E-02 
524	 6.50782491481579E-02 
525	 6.53043820172241E-02 
526	 6.57606910090914E-02 
527	 6.58962982126898E-02 
528	 6.57072996187879E-02 
529	 6.57483253827539E-02 
530	 6.62173070199843E-02 
531	 6.61856639900547E-02 
532	 6.61077226800465E-02 
533	 0.066143197498581 
534	 6.62582458133324E-02 
535	 6.59707879833686E-02 
536	 6.58774698808095E-02 
537	 0.066087701057217 
538	 6.59553134644465E-02 
539	 6.61979363737675E-02 
540	 6.65161055443517E-02 
541	 6.65034907698273E-02 
542	 6.63893912256784E-02 
543	 6.63925752445809E-02 
544	 6.65421676979662E-02 
545	 6.67172341279785E-02 
546	 6.67118607815215E-02 
547	 6.66580383045402E-02 
548	 6.66429184228692E-02 
549	 6.65510840518883E-02 
550	 6.67906293504499E-02 
551	 6.70866567987446E-02 
552	 6.70555572760937E-02 
